image,year,car_name,kms_driven,fuel,mode,price(lakhs),area,city
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Skoda,"48,000",Petrol,Automatic,14.9,Andheri East, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2019,MG,"38,000",Petrol,Automatic,14.25,Andheri East, Mumbai
https://images10.gaadi.com/usedcar_image/3939433/original/processed_6c97dd941bce9a2136e668ff4443cca0.jpg?imwidth=420,2022,BMW,"11,500",Petrol,Automatic,1.12,Goregaon (w), Mumbai
https://images10.gaadi.com/usedcar_image/3946212/original/c96a17b241619cf9e930a43b88f6acee.jpg?imwidth=420,2011,Volkswagen,"60,737",Petrol,Automatic,3.15,Prabhadevi, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Ford,"59,900",Diesel,Manual,7.15,Andheri East, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Hyundai,"42,000",Petrol,Manual,4.85,Andheri East, Mumbai
https://images10.gaadi.com/usedcar_image/3883156/original/be1e791f45d6a9dc30f547d18b01391c.jpg?imwidth=420,2014,Hyundai,"60,620",Petrol,Manual,4.52,Goregaon East, Mumbai
https://images10.gaadi.com/usedcar_image/3894850/original/processed_7726882bb94ea6b500e19ce075d4e90b.jpg?imwidth=420,2013,BMW,"71,000",Diesel,Automatic,16.5,Borivali West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2020,BMW,"52,000",Diesel,Automatic,76.0,Ghatkopar East, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2021,Maruti,"23,737",Petrol,Automatic,7.25,Antop Hill, Mumbai
https://images10.gaadi.com/usedcar_image/3942972/original/processed_78af1360f06c10419a578493b351c303.jpg?imwidth=420,2017,Mercedes-Benz,"53,800",Diesel,Automatic,18.25,Andheri West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2013,Audi,"65,000",Diesel,Automatic,9.75,Malad West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Hyundai,"59,700",Petrol,Automatic,6.85,Malad West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Honda,"80,820",Petrol,Manual,6.75,Prabhadevi, Mumbai
https://images10.gaadi.com/usedcar_image/3909307/original/processed_dfb6ea8b3eb95f591f6dcc0251fa4509.jpeg?imwidth=420,2017,Jeep,"56,000",Diesel,Manual,11.9,Andheri East, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2022,Toyota,"15,000",Petrol,Automatic,1.14,Borivali West, Mumbai
https://images10.gaadi.com/usedcar_image/3914990/original/processed_6aeb6f399a4fa6ad18c5dcee68e6ef4a.jpg?imwidth=420,2022,Maruti,"9,000",Petrol,Automatic,11.35,Andheri West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2023,Maruti,"4,314",Petrol,Automatic,8.25,Antop Hill, Mumbai
https://images10.gaadi.com/usedcar_image/3810352/original/06e26833-bb09-4803-ac0b-88831ccb7337__43.jpg?imwidth=420,2018,Honda,"59,897",Petrol,Manual,7.11,Goregaon East, Mumbai
https://images10.gaadi.com/usedcar_image/3878840/original/processed_f49bf4a539638a553f340308f8a43747.jpg?imwidth=420,2018,Hyundai,"34,830",Petrol,Manual,10.75,West, Thane
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Hyundai,"67,105",Petrol,Automatic,9.35,Prabhadevi, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2014,BMW,"49,000",Diesel,Automatic,21.0,Khar (w), Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2022,Hyundai,"11,942",CNG,Manual,7.18,Goregaon East, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,BMW,"45,000",Petrol,Automatic,27.75,Khar (w), Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Maruti,"24,926",Petrol,Manual,5.5,Prabhadevi, Mumbai
https://images10.gaadi.com/usedcar_image/3929815/original/processed_e81c4c0311cd9319696f643c66fe1ac4.jpg?imwidth=420,2021,Maruti,"14,000",Petrol,Manual,6.95,Antop Hill, Mumbai
https://images10.gaadi.com/usedcar_image/3885283/original/processed_755c6dd0678bddd0f0bedb6465f9bda2.jpg?imwidth=420,2018,Skoda,"24,135",Petrol,Automatic,17.5,Borivali West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Honda,"22,675",Petrol,Manual,5.99,Santacruz Central, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Honda,"63,373",Diesel,Manual,6.7,Antop Hill, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2022,Hyundai,"18,000",Petrol,Automatic,12.0,Andheri West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2021,Maruti,"16,500",Petrol,Manual,9.25,Antop Hill, Mumbai
https://images10.gaadi.com/usedcar_image/3902035/original/processed_1e0f57d7c6fef88cc8771791e3f47672.jpg?imwidth=420,2016,Maruti,"37,678",Petrol,Automatic,6.5,Antop Hill, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2014,Audi,"79,000",Diesel,Automatic,18.74,Central, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2022,Tata,"27,000",Diesel,Automatic,21.0,Malad West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2013,BMW,"85,300",Diesel,Automatic,12.95,Malad West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Honda,"29,000",Petrol,Manual,6.75,Bandra West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2020,Honda,"36,155",Petrol,Manual,9.95,Kharghar, Navi Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2022,Maruti,"6,000",Petrol,Manual,12.0,Andheri, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2023,MG,"25,000",Petrol,Automatic,18.45,Goregaon (w), Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Honda,"80,000",Petrol,Manual,4.55,Andheri East, Mumbai
https://images10.gaadi.com/usedcar_image/3932163/original/processed_0abdba869a4f78eb71a3cc20876d1d2d.jpg?imwidth=420,2015,Toyota,"54,000",Petrol,Automatic,12.75,Santacruz(west) S.o, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2022,Maruti,"20,436",Petrol,Automatic,12.75,West, Thane
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2013,Audi,"54,000",Diesel,Automatic,9.75,Borivali West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2013,Ford,"41,000",Diesel,Manual,4.95,Andheri East, Mumbai
https://images10.gaadi.com/usedcar_image/3913698/original/processed_b9aef4e8d662806d21ae5f4e9bf7a45a.jpeg?imwidth=420,2019,Mahindra,"60,000",Diesel,Manual,11.95,Andheri East, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2022,Skoda,"10,919",Petrol,Automatic,16.45,Borivali West, Mumbai
https://images10.gaadi.com/usedcar_image/3921805/original/processed_75a91312e76ff29d62d8160c3f67eb2a.jpg?imwidth=420,2016,Ford,"92,000",Diesel,Automatic,24.99,Borivali West, Mumbai
