Title,Genre,Industry,Votes
Inception,Sci-Fi,Hollywood,5
Titanic,Romance,Hollywood,1
The Godfather,Crime,Hollywood,2
Avengers: Endgame,Action,Hollywood,0
Shawshank Redemption,Drama,Hollywood,0
Forrest Gump,Drama,Hollywood,0
Interstellar,Sci-Fi,Hollywood,0
The Dark Knight,Action,Hollywood,0
Pulp Fiction,Crime,Hollywood,0
The Matrix,Sci-Fi,Hollywood,0
3 Idiots,Drama,Bollywood,0
Dangal,Drama,Bollywood,0
Dilwale Dulhania Le Jayenge,Romance,Bollywood,0
Sholay,Action,Bollywood,0
Zindagi Na Milegi Dobara,Adventure,Bollywood,0
Bahubali,Action,Bollywood,0
Kabir Singh,Romance,Bollywood,0
Queen,Drama,Bollywood,0
Gully Boy,Musical,Bollywood,0
PK,Comedy,Bollywood,3
ddlj,Adventure,Hollywood,1
