,links,names,ratings,price for two,cuisine
0,https://www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order,Empire Restaurant,4.1,₹100 for one,"North Indian, Biryani, Kebab, South Indian, Mughlai, Chinese, Seafood"
1,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order,Truffles,4.3,₹100 for one,"Burger, Italian, Desserts, Continental, American, Fast Food, Beverages"
2,https://www.zomato.com/bangalore/nandhana-palace-indiranagar/order,Nandhana Palace,4.1,₹100 for one,"Andhra, Biryani, North Indian, Chinese, Desserts, Ice Cream, Beverages"
3,https://www.zomato.com/bangalore/leons-burgers-wings-frazer-town-bangalore/order,Leon's Burgers & Wings,4.2,₹100 for one,"Burger, Fast Food, Wraps"
4,https://www.zomato.com/bangalore/the-only-place-church-street/order,The Only Place,4.4,₹100 for one,"Italian, Steak, Continental, Fast Food, Desserts, Beverages"
5,https://www.zomato.com/bangalore/sri-udupi-food-hub-majestic-bangalore/order,Sri Udupi Food Hub,4.2,₹100 for one,"South Indian, Chinese, Biryani, North Indian, Sandwich, Desserts, Juices, Beverages"
6,https://www.zomato.com/bangalore/meghana-foods-residency-road/order,Meghana Foods,4.4,₹100 for one,"Biryani, Andhra, North Indian, Seafood"
7,https://www.zomato.com/bangalore/roti-wala-com-btm-bangalore/order,Roti-Wala.Com,4.0,₹100 for one,"North Indian, Chinese, Sichuan, Salad, Beverages"
8,https://www.zomato.com/bangalore/sri-udupi-park-residency-road/order,Sri Udupi Park,4.3,₹100 for one,"South Indian, Chinese, Street Food, Beverages, North Indian, Shake"
9,https://www.zomato.com/bangalore/kfc-brigade-road-bangalore/order,KFC,3.8,₹200 for one,"Burger, Fast Food, Rolls"
10,https://www.zomato.com/bangalore/pizza-hut-shanti-nagar/order,Pizza Hut,4.0,₹200 for one,"Pizza, Italian, Pasta, Fast Food, Desserts, Beverages"
11,https://www.zomato.com/bangalore/burger-king-commercial-street/order,Burger King,4.2,₹200 for one,"Burger, Fast Food, Desserts, Beverages"
12,https://www.zomato.com/bangalore/mcdonalds-mg-road/order,McDonald's,3.8,₹200 for one,"Burger, Fast Food, Desserts, Beverages"
13,https://www.zomato.com/bangalore/manis-dum-biryani-1-btm-bangalore/order,Mani's Dum Biryani,4.2,₹200 for one,"Biryani, North Indian, Beverages"
14,https://www.zomato.com/bangalore/a2b-adyar-ananda-bhavan-1-shanti-nagar-bangalore/order,A2B - Adyar Ananda Bhavan,4.1,₹200 for one,"South Indian, North Indian, Biryani, Chinese, Street Food, Sandwich, Ice Cream, Beverages"
15,https://www.zomato.com/bangalore/al-bek-hosur-road-bangalore/order,Al-Bek,3.8,₹200 for one,"North Indian, Biryani, Arabian, Mughlai, Chinese"
16,https://www.zomato.com/bangalore/easybites-by-empire-brigade-road-bangalore/order,EasyBites By Empire,4.0,₹200 for one,"Burger, Fast Food"
17,https://www.zomato.com/bangalore/polar-bear-1-basavanagudi/order,Polar Bear,4.4,₹200 for one,"Ice Cream, Desserts, Shake, Beverages, Sandwich"
18,https://www.zomato.com/bangalore/freshmenu-richmond-road/order,FreshMenu,4.1,₹200 for one,"Continental, Oriental, Asian, Healthy Food, Sandwich, Chinese, Desserts"
19,https://www.zomato.com/bangalore/kanti-sweets-brigade-road/order,Kanti Sweets,4.6,₹200 for one,"Mithai, Desserts, Street Food"
20,https://www.zomato.com/bangalore/corner-house-ice-creams-residency-road-bangalore/order,Corner House Ice Creams,4.6,₹200 for one,"Ice Cream, Desserts, Shake"
21,https://www.zomato.com/bangalore/five-star-chicken-richmond-road-bangalore/order,Five Star Chicken,3.5,₹100 for one,"Burger, Rolls, Fast Food"
22,https://www.zomato.com/bangalore/sharief-bhai-frazer-town-bangalore/order,Sharief Bhai,3.9,₹100 for one,"Biryani, Kebab, Mughlai, Arabian, South Indian, Rolls, Desserts, Beverages"
23,https://www.zomato.com/bangalore/la-pinoz-pizza-frazer-town-bangalore/order,La Pino'z Pizza,3.9,₹100 for one,"Pizza, Pasta, Italian, Fast Food"
24,https://www.zomato.com/bangalore/beijing-bites-richmond-road/order,Beijing Bites,4.2,₹100 for one,"Chinese, Seafood, Thai, Rolls, Momos, Malaysian"
25,https://www.zomato.com/bangalore/imperial-restaurant-since-1954-residency-road-bangalore/order,Imperial Restaurant - Since 1954,4.1,₹100 for one,"North Indian, Mughlai, Chinese, Biryani, Seafood, Desserts, Shake, Beverages"
26,https://www.zomato.com/bangalore/bakingo-vasanth-nagar-bangalore/order,Bakingo,4.4,₹100 for one,"Bakery, Desserts"
27,https://www.zomato.com/bangalore/nandhini-deluxe-st-marks-road-bangalore/order,Nandhini Deluxe,4.1,₹100 for one,"Andhra, Biryani, North Indian"
